P_tau,P_tau_S,P_tau_W,P_t,P_t_S,P_t_W,lambda_D,lambda_A,r_plus,r_minus,Pi,Zeros,O_Rank
15206.61,8551.56,6655.05,18689.21,11294.98,7394.23,50.0,40.0,1.0,1.5,0.0017500000000000003,0.0,2
15206.61,8551.56,6655.05,12815.99,12176.98,639.01,50.0,40.0,1.0,1.5,0.0017500000000000003,0.0,2
15206.61,8551.56,6655.05,10109.39,2823.14,7286.26,50.0,40.0,1.0,1.5,0.0017500000000000003,0.0,2
15206.61,8551.56,6655.05,23457.91,19515.53,3942.38,50.0,40.0,1.0,1.5,0.0017500000000000003,0.0,2
15206.61,8551.56,6655.05,18689.21,11294.98,7394.23,50.0,53.0,1.0,1.5,0.01575,0.0,2
15206.61,8551.56,6655.05,12815.99,12176.98,639.01,50.0,53.0,1.0,1.5,0.01575,0.0,2
15206.61,8551.56,6655.05,10109.39,2823.14,7286.26,50.0,53.0,1.0,1.5,0.01575,0.0,2
15206.61,8551.56,6655.05,23457.91,19515.53,3942.38,50.0,53.0,1.0,1.5,0.01575,0.0,2
15206.61,8551.56,6655.05,18689.21,11294.98,7394.23,20.0,10.0,1.0,1.5,0.0026249999999999997,0.0,1
15206.61,8551.56,6655.05,12815.99,12176.98,639.01,20.0,10.0,1.0,1.5,0.0026249999999999997,0.0,1
15206.61,8551.56,6655.05,10109.39,2823.14,7286.26,20.0,10.0,1.0,1.5,0.0026249999999999997,0.0,1
15206.61,8551.56,6655.05,23457.91,19515.53,3942.38,20.0,10.0,1.0,1.5,0.0026249999999999997,0.0,1
15206.61,8551.56,6655.05,18689.21,11294.98,7394.23,20.0,23.0,1.0,1.5,0.023625,0.0,1
15206.61,8551.56,6655.05,12815.99,12176.98,639.01,20.0,23.0,1.0,1.5,0.023625,0.0,1
15206.61,8551.56,6655.05,10109.39,2823.14,7286.26,20.0,23.0,1.0,1.5,0.023625,0.0,1
15206.61,8551.56,6655.05,23457.91,19515.53,3942.38,20.0,23.0,1.0,1.5,0.023625,0.0,1
15206.61,8551.56,6655.05,18689.21,11294.98,7394.23,50.0,40.0,0.9,1.0,0.0007500000000000001,0.0,2
15206.61,8551.56,6655.05,12815.99,12176.98,639.01,50.0,40.0,0.9,1.0,0.0007500000000000001,0.0,2
15206.61,8551.56,6655.05,10109.39,2823.14,7286.26,50.0,40.0,0.9,1.0,0.0007500000000000001,0.0,2
15206.61,8551.56,6655.05,23457.91,19515.53,3942.38,50.0,40.0,0.9,1.0,0.0007500000000000001,0.0,2
