P_tau,P_tau_S,P_tau_W,P_t,P_t_S,P_t_W,lambda_D,lambda_A,r_plus,r_minus,Pi,Zeros,O_Rank
15206.61,8551.56,6655.05,25077.57,17979.71,7097.86,50.0,40.0,1.0,1.5,0.006124999999999999,0.0,2
15206.61,8551.56,6655.05,16279.09,10242.32,6036.77,50.0,40.0,1.0,1.5,0.006124999999999999,0.0,2
15206.61,8551.56,6655.05,9710.15,2514.41,7195.74,50.0,40.0,1.0,1.5,0.006124999999999999,0.0,2
15206.61,8551.56,6655.05,17939.18,14315.74,3623.44,50.0,40.0,1.0,1.5,0.006124999999999999,0.0,2
15206.61,8551.56,6655.05,25077.57,17979.71,7097.86,50.0,53.0,1.0,1.5,0.011375,0.0,2
15206.61,8551.56,6655.05,16279.09,10242.32,6036.77,50.0,53.0,1.0,1.5,0.011375,0.0,2
15206.61,8551.56,6655.05,9710.15,2514.41,7195.74,50.0,53.0,1.0,1.5,0.011375,0.0,2
15206.61,8551.56,6655.05,17939.18,14315.74,3623.44,50.0,53.0,1.0,1.5,0.011375,0.0,2
15206.61,8551.56,6655.05,25077.57,17979.71,7097.86,20.0,10.0,1.0,1.5,0.0091875,0.0,1
15206.61,8551.56,6655.05,16279.09,10242.32,6036.77,20.0,10.0,1.0,1.5,0.0091875,0.0,1
15206.61,8551.56,6655.05,9710.15,2514.41,7195.74,20.0,10.0,1.0,1.5,0.0091875,0.0,1
15206.61,8551.56,6655.05,17939.18,14315.74,3623.44,20.0,10.0,1.0,1.5,0.0091875,0.0,1
15206.61,8551.56,6655.05,25077.57,17979.71,7097.86,20.0,23.0,1.0,1.5,0.017062499999999998,0.0,1
15206.61,8551.56,6655.05,16279.09,10242.32,6036.77,20.0,23.0,1.0,1.5,0.017062499999999998,0.0,1
15206.61,8551.56,6655.05,9710.15,2514.41,7195.74,20.0,23.0,1.0,1.5,0.017062499999999998,0.0,1
15206.61,8551.56,6655.05,17939.18,14315.74,3623.44,20.0,23.0,1.0,1.5,0.017062499999999998,0.0,1
15206.61,8551.56,6655.05,25077.57,17979.71,7097.86,50.0,40.0,0.9,1.0,0.0026249999999999997,0.0,2
15206.61,8551.56,6655.05,16279.09,10242.32,6036.77,50.0,40.0,0.9,1.0,0.0026249999999999997,0.0,2
15206.61,8551.56,6655.05,9710.15,2514.41,7195.74,50.0,40.0,0.9,1.0,0.0026249999999999997,0.0,2
15206.61,8551.56,6655.05,17939.18,14315.74,3623.44,50.0,40.0,0.9,1.0,0.0026249999999999997,0.0,2
15206.61,8551.56,6655.05,25077.57,17979.71,7097.86,50.0,53.0,0.9,1.0,0.004875,0.0,2
15206.61,8551.56,6655.05,16279.09,10242.32,6036.77,50.0,53.0,0.9,1.0,0.004875,0.0,2
15206.61,8551.56,6655.05,9710.15,2514.41,7195.74,50.0,53.0,0.9,1.0,0.004875,0.0,2
15206.61,8551.56,6655.05,17939.18,14315.74,3623.44,50.0,53.0,0.9,1.0,0.004875,0.0,2
15206.61,8551.56,6655.05,25077.57,17979.71,7097.86,20.0,10.0,0.9,1.0,0.0039375,0.0,1
15206.61,8551.56,6655.05,16279.09,10242.32,6036.77,20.0,10.0,0.9,1.0,0.0039375,0.0,1
15206.61,8551.56,6655.05,9710.15,2514.41,7195.74,20.0,10.0,0.9,1.0,0.0039375,0.0,1
15206.61,8551.56,6655.05,17939.18,14315.74,3623.44,20.0,10.0,0.9,1.0,0.0039375,0.0,1
15206.61,8551.56,6655.05,25077.57,17979.71,7097.86,20.0,23.0,0.9,1.0,0.0073124999999999996,0.0,1
15206.61,8551.56,6655.05,16279.09,10242.32,6036.77,20.0,23.0,0.9,1.0,0.0073124999999999996,0.0,1
15206.61,8551.56,6655.05,9710.15,2514.41,7195.74,20.0,23.0,0.9,1.0,0.0073124999999999996,0.0,1
15206.61,8551.56,6655.05,17939.18,14315.74,3623.44,20.0,23.0,0.9,1.0,0.0073124999999999996,0.0,1
24038.01,18395.16,5642.85,17705.01,11768.93,5936.08,50.0,40.0,1.0,1.5,0.006124999999999999,0.0,2
24038.01,18395.16,5642.85,20508.72,8771.86,11736.86,50.0,40.0,1.0,1.5,0.006124999999999999,0.0,2
24038.01,18395.16,5642.85,26100.0,22117.76,3982.25,50.0,40.0,1.0,1.5,0.006124999999999999,0.0,2
24038.01,18395.16,5642.85,20469.47,16572.42,3897.05,50.0,40.0,1.0,1.5,0.006124999999999999,0.0,2
24038.01,18395.16,5642.85,17705.01,11768.93,5936.08,50.0,53.0,1.0,1.5,0.011375,0.0,2
24038.01,18395.16,5642.85,20508.72,8771.86,11736.86,50.0,53.0,1.0,1.5,0.011375,0.0,2
24038.01,18395.16,5642.85,26100.0,22117.76,3982.25,50.0,53.0,1.0,1.5,0.011375,0.0,2
24038.01,18395.16,5642.85,20469.47,16572.42,3897.05,50.0,53.0,1.0,1.5,0.011375,0.0,2
24038.01,18395.16,5642.85,17705.01,11768.93,5936.08,20.0,10.0,1.0,1.5,0.0091875,0.0,1
