P_tau,P_tau_S,P_tau_W,P_t,P_t_S,P_t_W,lambda_D,lambda_A,r_plus,r_minus,Pi,Zeros,O_Rank
15206.61,8551.56,6655.05,17695.16,7996.64,9698.52,50.0,42.0,1.0,1.5,0.0035000000000000005,0.0,2
15206.61,8551.56,6655.05,10497.09,7136.19,3360.9,50.0,42.0,1.0,1.5,0.0035000000000000005,0.0,2
15206.61,8551.56,6655.05,20376.12,18444.3,1931.82,50.0,42.0,1.0,1.5,0.0035000000000000005,0.0,2
15206.61,8551.56,6655.05,20376.24,13874.08,6502.17,50.0,42.0,1.0,1.5,0.0035000000000000005,0.0,2
15206.61,8551.56,6655.05,17695.16,7996.64,9698.52,50.0,52.0,1.0,1.5,0.014000000000000002,0.0,2
15206.61,8551.56,6655.05,10497.09,7136.19,3360.9,50.0,52.0,1.0,1.5,0.014000000000000002,0.0,2
15206.61,8551.56,6655.05,20376.12,18444.3,1931.82,50.0,52.0,1.0,1.5,0.014000000000000002,0.0,2
15206.61,8551.56,6655.05,20376.24,13874.08,6502.17,50.0,52.0,1.0,1.5,0.014000000000000002,0.0,2
15206.61,8551.56,6655.05,17695.16,7996.64,9698.52,20.0,12.0,1.0,1.5,0.0052499999999999995,0.0,1
15206.61,8551.56,6655.05,10497.09,7136.19,3360.9,20.0,12.0,1.0,1.5,0.0052499999999999995,0.0,1
15206.61,8551.56,6655.05,20376.12,18444.3,1931.82,20.0,12.0,1.0,1.5,0.0052499999999999995,0.0,1
15206.61,8551.56,6655.05,20376.24,13874.08,6502.17,20.0,12.0,1.0,1.5,0.0052499999999999995,0.0,1
15206.61,8551.56,6655.05,17695.16,7996.64,9698.52,20.0,22.0,1.0,1.5,0.020999999999999998,0.0,1
15206.61,8551.56,6655.05,10497.09,7136.19,3360.9,20.0,22.0,1.0,1.5,0.020999999999999998,0.0,1
15206.61,8551.56,6655.05,20376.12,18444.3,1931.82,20.0,22.0,1.0,1.5,0.020999999999999998,0.0,1
15206.61,8551.56,6655.05,20376.24,13874.08,6502.17,20.0,22.0,1.0,1.5,0.020999999999999998,0.0,1
15206.61,8551.56,6655.05,17695.16,7996.64,9698.52,50.0,42.0,0.9,1.0,0.0015000000000000002,0.0,2
15206.61,8551.56,6655.05,10497.09,7136.19,3360.9,50.0,42.0,0.9,1.0,0.0015000000000000002,0.0,2
15206.61,8551.56,6655.05,20376.12,18444.3,1931.82,50.0,42.0,0.9,1.0,0.0015000000000000002,0.0,2
15206.61,8551.56,6655.05,20376.24,13874.08,6502.17,50.0,42.0,0.9,1.0,0.0015000000000000002,0.0,2
15206.61,8551.56,6655.05,17695.16,7996.64,9698.52,50.0,52.0,0.9,1.0,0.006000000000000001,0.0,2
15206.61,8551.56,6655.05,10497.09,7136.19,3360.9,50.0,52.0,0.9,1.0,0.006000000000000001,0.0,2
15206.61,8551.56,6655.05,20376.12,18444.3,1931.82,50.0,52.0,0.9,1.0,0.006000000000000001,0.0,2
15206.61,8551.56,6655.05,20376.24,13874.08,6502.17,50.0,52.0,0.9,1.0,0.006000000000000001,0.0,2
15206.61,8551.56,6655.05,17695.16,7996.64,9698.52,20.0,12.0,0.9,1.0,0.00225,0.0,1
